ano,sigla_uf,id_municipio,tema,recusa,sem_gestor,caracterizacao_orgao_gestor,sexo,idade,cor_raca,cor_raca_autodeclarado,escolaridade,escolaridade_formacao
2018,TO,1700400,assistencia_social,0,0,Secretaria exclusiva,Feminino,47,Parda,1,Ensino médio (2º Grau) incompleto,
2019,TO,1700400,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1700400,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1700400,habitacao,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,53,Parda,0,Ensino fundamental (1º Grau) completo,Não se aplica
2020,TO,1700400,transporte,0,0,Setor subordinado diretamente à chefia do Executivo,Masculino,54,Parda,1,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1700400,agropecuario,0,0,Setor subordinado diretamente à chefia do Executivo,Masculino,54,Parda,1,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1700400,meio_ambiente,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,40,Parda,1,Especialização,Não se aplica
2021,TO,1700400,saude,0,0,Secretaria exclusiva,Masculino,56,Parda,1,Ensino superior completo,Administração
2021,TO,1700400,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,49,Parda,1,Ensino superior completo,Não se aplica
2021,TO,1700400,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,49,Parda,1,Ensino superior completo,Não se aplica
2021,TO,1700400,eduacao,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,49,Parda,1,Ensino superior completo,Pedagogia
2021,TO,1700400,informacao_prefeito,0,0,Não se aplica,Masculino,59,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2018,TO,1700707,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1700707,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,29,Branca,1,Ensino superior incompleto,Não se aplica
2018,TO,1700707,saude,0,0,Secretaria exclusiva,Masculino,32,Parda,1,Especialização,Assistência social
2018,TO,1700707,assistencia_social,0,0,Secretaria exclusiva,Feminino,51,Parda,1,Especialização,Pedagogia
2019,TO,1700707,direitos_humanos,0,0,Setor subordinado a outra secretaria,Feminino,52,Parda,1,Ensino superior completo,Não se aplica
2019,TO,1700707,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1700707,habitacao,1,0,,,,,,,Não se aplica
2020,TO,1700707,transporte,1,0,,,,,,,Não se aplica
2020,TO,1700707,agropecuario,1,0,,,,,,,Não se aplica
2020,TO,1700707,meio_ambiente,1,0,,,,,,,Não se aplica
2021,TO,1700707,saude,0,0,Secretaria exclusiva,Feminino,27,Branca,0,Ensino superior completo,Direito
2021,TO,1700707,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,33,Branca,1,Ensino superior incompleto,Não se aplica
2021,TO,1700707,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,33,Branca,1,Ensino superior incompleto,Não se aplica
2021,TO,1700707,eduacao,0,0,Secretaria exclusiva,Feminino,58,Branca,0,Especialização,Outra
2021,TO,1700707,informacao_prefeito,0,0,Não se aplica,Masculino,46,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2018,TO,1701002,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1701002,cultura,0,0,Setor subordinado a outra secretaria,Masculino,32,Parda,0,Especialização,Não se aplica
2018,TO,1701002,saude,0,0,Secretaria exclusiva,Feminino,39,Parda,1,Ensino superior completo,Sociologia
2018,TO,1701002,assistencia_social,0,0,Secretaria exclusiva,Feminino,37,Branca,1,Ensino superior completo,Assistência social
2019,TO,1701002,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1701002,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1701002,habitacao,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1701002,transporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,46,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1701002,agropecuario,0,0,Secretaria exclusiva,Masculino,57,Parda,1,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1701002,meio_ambiente,0,0,Secretaria exclusiva,Masculino,57,Parda,1,Ensino médio (2º Grau) completo,Não se aplica
2021,TO,1701002,saude,0,0,Secretaria exclusiva,Masculino,26,Parda,1,Ensino superior completo,Outra
2021,TO,1701002,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,37,Branca,0,Especialização,Não se aplica
2021,TO,1701002,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,37,Branca,0,Especialização,Não se aplica
2021,TO,1701002,eduacao,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,37,Branca,1,Especialização,Outra
2021,TO,1701002,informacao_prefeito,0,0,Não se aplica,Masculino,61,Parda,0,Ensino superior completo,Não se aplica
2018,TO,1701051,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1701051,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,34,Parda,1,Ensino superior completo,Não se aplica
2018,TO,1701051,saude,0,0,Secretaria exclusiva,Masculino,29,Parda,0,Ensino médio (2º Grau) completo,
2018,TO,1701051,assistencia_social,0,0,Secretaria exclusiva,Feminino,34,Parda,1,Ensino superior completo,Pedagogia
2019,TO,1701051,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1701051,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1701051,habitacao,0,0,Secretaria exclusiva,Masculino,26,Parda,1,Ensino superior incompleto,Não se aplica
2020,TO,1701051,transporte,0,0,Secretaria exclusiva,Masculino,57,Parda,1,Ensino fundamental (1º Grau) completo,Não se aplica
2020,TO,1701051,agropecuario,0,0,Secretaria exclusiva,Masculino,57,Parda,1,Ensino fundamental (1º Grau) completo,Não se aplica
2020,TO,1701051,meio_ambiente,0,0,Secretaria exclusiva,Masculino,33,Parda,1,Ensino superior completo,Não se aplica
2021,TO,1701051,saude,0,0,Secretaria exclusiva,Masculino,33,Parda,1,Ensino médio (2º Grau) completo,
2021,TO,1701051,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,23,Parda,1,Ensino superior incompleto,Não se aplica
2021,TO,1701051,cultura,0,0,Setor subordinado a outra secretaria,Masculino,37,Parda,1,Ensino superior completo,Não se aplica
2021,TO,1701051,eduacao,0,0,Secretaria exclusiva,Masculino,37,Parda,1,Ensino superior completo,Pedagogia
2021,TO,1701051,informacao_prefeito,0,0,Não se aplica,Masculino,54,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2018,TO,1701101,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1701101,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,34,Parda,0,Especialização,Não se aplica
2018,TO,1701101,saude,0,0,Secretaria exclusiva,Feminino,53,Parda,1,Ensino superior completo,Administração
2018,TO,1701101,assistencia_social,0,0,Secretaria exclusiva,Masculino,42,Parda,0,Ensino superior completo,Outra
2019,TO,1701101,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1701101,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1701101,habitacao,0,0,Setor subordinado a outra secretaria,Masculino,44,Preta,1,Ensino superior completo,Não se aplica
2020,TO,1701101,transporte,0,0,Setor subordinado a outra secretaria,Masculino,44,Preta,1,Ensino superior completo,Não se aplica
2020,TO,1701101,agropecuario,0,0,Secretaria exclusiva,Masculino,39,Parda,1,Ensino superior completo,Não se aplica
2020,TO,1701101,meio_ambiente,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,42,Parda,1,Ensino superior completo,Não se aplica
2021,TO,1701101,saude,0,0,Secretaria exclusiva,Feminino,57,Parda,1,Especialização,Pedagogia
2021,TO,1701101,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,30,Parda,1,Ensino superior completo,Não se aplica
2021,TO,1701101,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,58,Parda,0,Especialização,Não se aplica
2021,TO,1701101,eduacao,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,58,Parda,1,Especialização,Letras
2021,TO,1701101,informacao_prefeito,0,0,Não se aplica,Masculino,58,Parda,0,Ensino superior completo,Não se aplica
2018,TO,1701309,politica_genero,0,0,Setor subordinado a outra secretaria,Feminino,34,Branca,1,Ensino superior incompleto,Não se aplica
2018,TO,1701309,cultura,0,0,Setor subordinado a outra secretaria,Feminino,52,Parda,1,Ensino superior completo,Não se aplica
2018,TO,1701309,saude,0,0,Secretaria exclusiva,Feminino,45,Parda,1,Ensino superior incompleto,
2018,TO,1701309,assistencia_social,0,0,Secretaria exclusiva,Feminino,34,Branca,1,Ensino superior incompleto,
2019,TO,1701309,direitos_humanos,0,0,Setor subordinado a outra secretaria,Feminino,34,Branca,0,Ensino superior incompleto,Não se aplica
2019,TO,1701309,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1701309,habitacao,1,0,,,,,,,Não se aplica
2020,TO,1701309,transporte,1,0,,,,,,,Não se aplica
2020,TO,1701309,agropecuario,1,0,,,,,,,Não se aplica
2020,TO,1701309,meio_ambiente,1,0,,,,,,,Não se aplica
2021,TO,1701309,saude,0,0,Secretaria exclusiva,Masculino,25,Parda,1,Ensino superior completo,Odontologia
2021,TO,1701309,esporte,0,0,Secretaria exclusiva,Masculino,28,Parda,1,Ensino superior completo,Não se aplica
2021,TO,1701309,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,40,Branca,0,Ensino superior completo,Não se aplica
2021,TO,1701309,eduacao,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,40,Branca,0,Especialização,Outra
2021,TO,1701309,informacao_prefeito,0,0,Não se aplica,Masculino,43,Branca,0,Ensino médio (2º Grau) completo,Não se aplica
2018,TO,1701903,politica_genero,0,0,Setor subordinado a outra secretaria,Feminino,33,Branca,0,Ensino superior incompleto,Não se aplica
2018,TO,1701903,cultura,0,0,Setor subordinado a outra secretaria,Masculino,41,Parda,1,Especialização,Não se aplica
2018,TO,1701903,saude,0,0,Secretaria exclusiva,Masculino,40,Preta,1,Ensino superior completo,Assistência social
2018,TO,1701903,assistencia_social,0,0,Secretaria exclusiva,Masculino,33,Branca,1,Ensino superior incompleto,
2019,TO,1701903,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1701903,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1701903,habitacao,0,0,Setor subordinado a outra secretaria,Masculino,37,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1701903,transporte,0,0,Setor subordinado a outra secretaria,Masculino,37,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1701903,agropecuario,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,40,Parda,0,Ensino superior incompleto,Não se aplica
2020,TO,1701903,meio_ambiente,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,44,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2021,TO,1701903,saude,0,0,Secretaria exclusiva,Feminino,60,Branca,1,Especialização,Pedagogia
2021,TO,1701903,esporte,0,0,Não possui estrutura,,,,,,Não se aplica
2021,TO,1701903,cultura,0,0,Não possui estrutura,,,,,,Não se aplica
2021,TO,1701903,eduacao,0,0,Secretaria exclusiva,Feminino,46,Parda,1,Especialização,Pedagogia
2021,TO,1701903,informacao_prefeito,0,0,Não se aplica,Masculino,38,Branca,0,Ensino superior incompleto,Não se aplica
2018,TO,1702000,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1702000,cultura,0,0,Secretaria exclusiva,Masculino,27,Preta,1,Ensino médio (2º Grau) incompleto,Não se aplica
2018,TO,1702000,saude,0,0,Secretaria exclusiva,Feminino,32,Branca,0,Ensino superior completo,Direito
2018,TO,1702000,assistencia_social,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,32,Parda,0,Ensino superior completo,Assistência social
2019,TO,1702000,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1702000,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1702000,habitacao,0,0,Secretaria exclusiva,Masculino,52,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1702000,transporte,0,0,Setor subordinado a outra secretaria,Masculino,45,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1702000,agropecuario,0,0,Secretaria exclusiva,Masculino,53,Branca,0,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1702000,meio_ambiente,0,0,Secretaria exclusiva,Masculino,43,Parda,0,Especialização,Não se aplica
2021,TO,1702000,saude,0,0,Secretaria exclusiva,Masculino,46,Branca,0,Ensino superior completo,Administração
2021,TO,1702000,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,59,Branca,1,Ensino médio (2º Grau) completo,Não se aplica
2021,TO,1702000,cultura,0,0,Secretaria exclusiva,Masculino,59,Branca,1,Ensino médio (2º Grau) completo,Não se aplica
2021,TO,1702000,eduacao,0,0,Secretaria exclusiva,Masculino,35,Parda,1,Especialização,Letras
2021,TO,1702000,informacao_prefeito,0,0,Não se aplica,Masculino,58,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2018,TO,1702109,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1702109,cultura,0,0,Setor subordinado a outra secretaria,Masculino,48,Parda,1,Doutorado,Não se aplica
2018,TO,1702109,saude,0,0,Secretaria exclusiva,Masculino,45,Parda,0,Ensino superior completo,Jornalismo
2018,TO,1702109,assistencia_social,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,33,Parda,1,Especialização,Outra
2019,TO,1702109,direitos_humanos,0,0,Setor subordinado a outra secretaria,Feminino,34,Branca,0,Especialização,Não se aplica
2019,TO,1702109,seguranca_publica,0,0,Secretaria municipal em conjunto com outras políticas setoriais,Masculino,43,Branca,1,Especialização,Não se aplica
2020,TO,1702109,habitacao,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,35,Branca,0,Especialização,Não se aplica
2020,TO,1702109,transporte,0,0,Órgão da administração indireta,Masculino,49,Branca,0,Ensino superior completo,Não se aplica
2020,TO,1702109,agropecuario,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,54,Parda,0,Ensino superior completo,Não se aplica
2020,TO,1702109,meio_ambiente,0,0,Secretaria exclusiva,Masculino,54,Branca,0,Ensino superior completo,Não se aplica
2021,TO,1702109,saude,0,0,Secretaria exclusiva,Feminino,45,Parda,0,Especialização,Administração
2021,TO,1702109,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,44,Preta,0,Especialização,Não se aplica
2021,TO,1702109,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,44,Preta,1,Especialização,Não se aplica
2021,TO,1702109,eduacao,0,0,Secretaria exclusiva,Feminino,47,Parda,0,Mestrado,Outra
2021,TO,1702109,informacao_prefeito,0,0,Não se aplica,Masculino,44,Parda,0,Especialização,Não se aplica
2018,TO,1702158,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1702158,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,32,Parda,1,Especialização,Não se aplica
2018,TO,1702158,saude,0,0,Secretaria exclusiva,Feminino,64,Preta,1,Especialização,Administração
2018,TO,1702158,assistencia_social,0,0,Secretaria exclusiva,Feminino,22,Branca,0,Ensino superior completo,Assistência social
2019,TO,1702158,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1702158,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1702158,habitacao,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,54,Branca,0,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1702158,transporte,0,0,Setor subordinado a outra secretaria,Feminino,50,Parda,1,Ensino superior completo,Não se aplica
2020,TO,1702158,agropecuario,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,50,Parda,1,Ensino superior completo,Não se aplica
2020,TO,1702158,meio_ambiente,0,0,Secretaria exclusiva,Feminino,50,Parda,1,Ensino médio (2º Grau) completo,Não se aplica
2021,TO,1702158,saude,0,0,Secretaria exclusiva,Masculino,26,Parda,0,Ensino superior completo,Administração
2021,TO,1702158,esporte,0,0,Setor subordinado a outra secretaria,Feminino,33,Branca,1,Ensino superior completo,Não se aplica
2021,TO,1702158,cultura,0,0,Setor subordinado a outra secretaria,Feminino,33,Branca,1,Ensino superior completo,Não se aplica
2021,TO,1702158,eduacao,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,41,Parda,1,Ensino superior completo,Pedagogia
2021,TO,1702158,informacao_prefeito,0,0,Não se aplica,Masculino,32,Branca,0,Ensino médio (2º Grau) completo,Não se aplica
2018,TO,1702208,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1702208,cultura,0,0,Secretaria exclusiva,Masculino,,Branca,0,Ensino superior completo,Não se aplica
2018,TO,1702208,saude,0,0,Secretaria exclusiva,Masculino,,Parda,0,Ensino médio (2º Grau) completo,
2018,TO,1702208,assistencia_social,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,48,Parda,0,Especialização,Pedagogia
2019,TO,1702208,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1702208,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1702208,habitacao,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,38,Branca,0,Ensino superior completo,Não se aplica
2020,TO,1702208,transporte,0,0,Setor subordinado a outra secretaria,Masculino,45,Preta,0,Ensino fundamental (1º Grau) completo,Não se aplica
2020,TO,1702208,agropecuario,0,0,Secretaria exclusiva,Masculino,47,Preta,0,Ensino superior completo,Não se aplica
2020,TO,1702208,meio_ambiente,0,0,Secretaria exclusiva,Masculino,42,Preta,0,Ensino superior completo,Não se aplica
2021,TO,1702208,saude,0,0,Secretaria exclusiva,Feminino,50,Branca,0,Ensino superior completo,Medicina
2021,TO,1702208,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,44,Parda,1,Ensino superior incompleto,Não se aplica
2021,TO,1702208,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,44,Parda,1,Ensino superior incompleto,Não se aplica
2021,TO,1702208,eduacao,0,0,Secretaria exclusiva,Feminino,47,Branca,1,Especialização,Pedagogia
2021,TO,1702208,informacao_prefeito,0,0,Não se aplica,Masculino,60,Parda,0,Ensino fundamental ( 1º Grau) completo,Não se aplica
2018,TO,1702307,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1702307,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,47,Branca,1,Especialização,Não se aplica
2018,TO,1702307,saude,0,0,Secretaria exclusiva,Masculino,58,Parda,1,Ensino médio (2º Grau) completo,
2018,TO,1702307,assistencia_social,0,0,Secretaria exclusiva,Feminino,49,Parda,1,Especialização,Pedagogia
2019,TO,1702307,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1702307,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1702307,habitacao,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1702307,transporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,52,Parda,1,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1702307,agropecuario,0,0,Secretaria exclusiva,Masculino,26,Preta,1,Ensino superior completo,Não se aplica
2020,TO,1702307,meio_ambiente,0,0,Secretaria exclusiva,Masculino,26,Preta,1,Ensino superior completo,Não se aplica
2021,TO,1702307,saude,0,0,Secretaria exclusiva,Feminino,44,Parda,1,Especialização,Pedagogia
2021,TO,1702307,esporte,0,0,Setor subordinado a outra secretaria,Feminino,42,Branca,0,Ensino superior completo,Não se aplica
2021,TO,1702307,cultura,0,0,Setor subordinado a outra secretaria,Feminino,42,Branca,1,Especialização,Não se aplica
2021,TO,1702307,eduacao,0,0,Secretaria exclusiva,Feminino,42,Branca,0,Especialização,Matemática
2021,TO,1702307,informacao_prefeito,0,0,Não se aplica,Masculino,54,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2018,TO,1702406,politica_genero,0,0,Setor subordinado diretamente à chefia do Executivo,Feminino,40,Parda,0,Ensino superior completo,Não se aplica
2018,TO,1702406,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,,Parda,0,Especialização,Não se aplica
2018,TO,1702406,saude,0,0,Secretaria exclusiva,Feminino,29,Parda,1,Ensino superior completo,Administração
2018,TO,1702406,assistencia_social,0,0,Secretaria exclusiva,Feminino,43,Parda,1,Ensino superior completo,Pedagogia
2019,TO,1702406,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1702406,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1702406,habitacao,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1702406,transporte,0,0,Secretaria exclusiva,Masculino,40,Parda,0,Ensino superior completo,Não se aplica
2020,TO,1702406,agropecuario,0,0,Secretaria exclusiva,Masculino,47,Parda,1,Especialização,Não se aplica
2020,TO,1702406,meio_ambiente,0,0,Secretaria exclusiva,Masculino,34,Parda,1,Especialização,Não se aplica
2021,TO,1702406,saude,0,0,Secretaria exclusiva,Masculino,40,Parda,1,Especialização,Pedagogia
2021,TO,1702406,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,35,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2021,TO,1702406,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,37,Branca,1,Ensino superior incompleto,Não se aplica
2021,TO,1702406,eduacao,0,0,Secretaria exclusiva,Feminino,30,Parda,1,Ensino superior completo,Letras
2021,TO,1702406,informacao_prefeito,0,0,Não se aplica,Masculino,51,Parda,0,Ensino superior completo,Não se aplica
2018,TO,1702554,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
